177,7508636.0885,4697883.0020,599.7770,1
178,7508639.6194,4697867.1828,599.8570,2
179,7508662.1920,4697872.2206,599.8490,3
180,7508666.0807,4697855.6224,600.0140,4
9398,7508806.9450,4697885.4590,598.8940,9398
9399,7508801.6160,4697919.7690,598.6070,9399
9428,7508721.7350,4697903.2140,599.0120,9428
9429,7508675.0050,4697892.4670,599.2320,9429
9430,7508607.7140,4697876.1010,599.6770,9430
9431,7508559.5830,4697861.6040,600.3220,9431
9432,7508558.1830,4697861.1640,600.3520,9432
9433,7508544.2630,4697856.7850,600.2210,9433
9437,7508681.5640,4697859.3070,599.9490,9437
9438,7508677.7240,4697875.6870,599.7490,9438
9439,7508631.0040,4697865.2600,599.8770,9439
9440,7508582.3230,4697851.3130,600.1220,9440
9441,7508558.2530,4697843.4540,600.8470,9441
9442,7508551.3820,4697841.3550,600.3110,9442
9450,7508560.0220,4697824.4150,600.4620,9450
9451,7508597.3530,4697838.9520,600.2140,9451
9452,7508634.9330,4697848.2100,600.5420,9452
9500,7508558.8720,4697826.4250,600.4470,9500
